workload_id,actual_best_policy,pred_best_policy,true_best_rank_in_pred,topk,topk_hit,top1_hit,actual_best_score_mean,actual_score_mean_of_pred_choice,actual_regret,pred_topk_policies
W2474,EC-2-2,EC-2-2,1,3,1,1,252.63457333312545,252.63457333312545,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2476,EC-3-2,EC-2-2,2,3,1,0,361.2512486670312,696.1714516666385,334.92020299960734,"EC-2-2,EC-3-2,EC-4-2"
W2478,EC-3-2,EC-3-2,1,3,1,1,435.3874186667781,435.3874186667781,0.0,"EC-3-2,EC-5-3,EC-6-3"
W2483,EC-4-3,EC-2-2,4,3,0,0,399.77419016698457,863.7463831654107,463.9721929984262,"EC-2-2,EC-4-2,EC-3-2"
W2498,EC-4-3,EC-3-2,5,3,0,0,315.73286899902087,587.9393502495986,272.2064812505778,"EC-3-2,EC-2-2,EC-4-2"
W2502,EC-2-2,EC-2-2,1,3,1,1,291.4684987505325,291.4684987505325,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2504,EC-4-3,EC-4-3,1,3,1,1,400.7672992497646,400.7672992497646,0.0,"EC-4-3,EC-2-2,EC-3-2"
W2506,EC-3-2,EC-3-2,1,3,1,1,345.57716599776234,345.57716599776234,0.0,"EC-3-2,EC-4-2,EC-4-3"
W2524,EC-6-3,EC-3-2,7,3,0,0,470.9562637981435,1082.0492816668168,611.0930178686733,"EC-3-2,EC-2-2,EC-4-2"
W2526,EC-4-2,EC-2-2,2,3,1,0,582.2735573994578,1323.9768684004957,741.703311001038,"EC-2-2,EC-4-2,EC-3-2"
W2529,EC-3-2,EC-3-2,1,3,1,1,327.90101026839693,327.90101026839693,0.0,"EC-3-2,EC-4-2,EC-4-3"
W2530,EC-5-3,EC-3-2,5,3,0,0,353.08427104346265,412.4000892648837,59.31581822142107,"EC-3-2,EC-4-2,EC-2-2"
W2532,EC-4-2,EC-3-2,2,3,1,0,257.5233850024233,439.71835400243435,182.19496900001104,"EC-3-2,EC-4-2,EC-2-2"
W2539,EC-4-2,EC-3-2,3,3,1,0,349.7975375987153,354.9143549966175,5.116817397902196,"EC-3-2,EC-2-2,EC-4-2"
W2543,EC-4-3,EC-4-3,1,3,1,1,536.0966883689496,536.0966883689496,0.0,"EC-4-3,EC-5-3,EC-8-4"
W2547,EC-4-3,EC-4-3,1,3,1,1,614.5585424944632,614.5585424944632,0.0,"EC-4-3,EC-4-2,EC-3-2"
W2556,EC-3-2,EC-3-2,1,3,1,1,397.0854333332075,397.0854333332075,0.0,"EC-3-2,EC-4-2,EC-4-3"
W2565,EC-5-3,EC-3-2,4,3,0,0,476.4029103359159,1014.9822815002759,538.57937116436,"EC-3-2,EC-4-2,EC-2-2"
W2568,EC-8-4,EC-2-2,8,3,0,0,534.4364643387962,940.9891549993669,406.55269066057065,"EC-2-2,EC-3-2,EC-4-2"
W2570,EC-2-2,EC-3-2,2,3,1,0,318.6580160000479,1137.6346456653057,818.9766296652579,"EC-3-2,EC-2-2,EC-4-2"
W2577,EC-4-3,EC-3-2,4,3,0,0,586.9067823383981,636.7349098319816,49.82812749358345,"EC-3-2,EC-2-2,EC-4-2"
W2580,EC-4-2,EC-2-2,3,3,1,0,539.5989120002014,787.7926808330358,248.1937688328344,"EC-2-2,EC-3-2,EC-4-2"
W2588,EC-2-2,EC-3-2,2,3,1,0,236.66205300086014,269.23349185614956,32.571438855289415,"EC-3-2,EC-2-2,EC-4-2"
W2593,EC-3-2,EC-3-2,1,3,1,1,297.1529917157178,297.1529917157178,0.0,"EC-3-2,EC-4-2,EC-2-2"
W2594,EC-3-2,EC-2-2,3,3,1,0,343.84902585666816,832.288144714377,488.4391188577089,"EC-2-2,EC-4-2,EC-3-2"
W2595,EC-5-3,EC-3-2,5,3,0,0,604.6300715709419,842.7840595717757,238.1539880008338,"EC-3-2,EC-4-2,EC-2-2"
W2602,EC-8-3,EC-3-2,2,3,1,0,636.9348847905972,652.063568595189,15.128683804591901,"EC-3-2,EC-8-3,EC-6-3"
W2604,EC-4-2,EC-3-2,2,3,1,0,569.0754616428942,620.4175315697285,51.342069926834256,"EC-3-2,EC-4-2,EC-8-3"
W2619,EC-4-2,EC-3-2,2,3,1,0,270.5750341242492,1114.0548504500202,843.479816325771,"EC-3-2,EC-4-2,EC-2-2"
W2620,EC-2-2,EC-2-2,1,3,1,1,344.39538222579813,344.39538222579813,0.0,"EC-2-2,EC-3-2,EC-7-3"
W2628,EC-2-2,EC-2-2,1,3,1,1,331.2002929993696,331.2002929993696,0.0,"EC-2-2,EC-4-2,EC-4-3"
W2632,EC-4-3,EC-2-2,4,3,0,0,623.3578495244728,653.4417249751073,30.083875450634423,"EC-2-2,EC-4-2,EC-3-2"
W2637,EC-2-2,EC-3-2,3,3,1,0,781.7152795832953,1199.5328563745034,417.817576791208,"EC-3-2,EC-4-2,EC-2-2"
W2645,EC-2-2,EC-3-2,2,3,1,0,577.5488026116466,1128.8881813885482,551.3393787769016,"EC-3-2,EC-2-2,EC-4-2"
W2646,EC-4-3,EC-2-2,4,3,0,0,625.1122344454212,995.6241404443062,370.511905998885,"EC-2-2,EC-3-2,EC-4-2"
W2660,EC-3-2,EC-3-2,1,3,1,1,505.71708505695926,505.71708505695926,0.0,"EC-3-2,EC-4-2,EC-2-2"
W2664,EC-6-3,EC-4-2,8,3,0,0,811.7278303355611,1024.6944889996585,212.9666586640974,"EC-4-2,EC-2-2,EC-3-2"
W2668,EC-4-2,EC-3-2,2,3,1,0,497.2891939993739,552.3705721267856,55.08137812741177,"EC-3-2,EC-4-2,EC-4-3"
W2669,EC-3-2,EC-3-2,1,3,1,1,609.6350463166389,609.6350463166389,0.0,"EC-3-2,EC-4-2,EC-4-3"
W2678,EC-3-2,EC-4-2,2,3,1,0,584.9717633007458,1018.6628736983948,433.691110397649,"EC-4-2,EC-3-2,EC-2-2"
W2679,EC-3-2,EC-3-2,1,3,1,1,676.5538086344046,676.5538086344046,0.0,"EC-3-2,EC-4-2,EC-5-3"
W2682,EC-6-3,EC-3-2,9,3,0,0,458.8956101970325,1124.5575404007468,665.6619302037143,"EC-3-2,EC-4-2,EC-4-3"
W2688,EC-3-2,EC-4-2,2,3,1,0,526.734915101315,575.9377191002386,49.20280399892363,"EC-4-2,EC-3-2,EC-2-2"
W2690,EC-3-2,EC-2-2,2,3,1,0,453.6762367997653,1185.632917900466,731.9566811007007,"EC-2-2,EC-3-2,EC-4-2"
W2701,EC-4-2,EC-3-2,2,3,1,0,236.39407500195375,567.6294120021339,331.23533700018015,"EC-3-2,EC-4-2,EC-2-2"
W2704,EC-3-2,EC-4-2,2,3,1,0,286.15569599969604,630.1339980018383,343.9783020021423,"EC-4-2,EC-3-2,EC-8-3"
W2706,EC-3-2,EC-4-2,3,3,1,0,231.36811350195785,253.66628850042616,22.298174998468312,"EC-4-2,EC-2-2,EC-3-2"
W2707,EC-4-2,EC-4-2,1,3,1,1,220.69586699944924,220.69586699944924,0.0,"EC-4-2,EC-3-2,EC-4-3"
